'blue chip' share	蓝筹股
Colombia	哥伦比亚（南美洲国家） n. 哥伦比亚（南美洲国家）
Colosseum	n. 古罗马斗兽场
Columbus Day	哥伦布日
Come here.	来这里。
Come on.	加油
Commonwealth	n. 国家；共和国；联邦
CompactFlash(CF)	压缩闪存（卡）
Computer Studies	计算机课
Condor	秃鹰
Cook	厨师
Cordelia	科迪莉亚
Cornwall	康沃尔
Costa Rica	n. 哥斯达黎加，（地名）哥斯达黎加
Country Mouse	乡村老鼠
Country Music Hall of Fame Museum	乡村音乐名人堂博物馆
Country Music Hall of Fame and Museum	乡村音乐名人堂与博物馆
Cox	考克斯（姓氏）
Crete	克里特岛（希腊位于地中海东部一岛鸣）
Cuba	n. 古巴
Cubism	n. 立体主义，立体派
Cuzco	n. 库斯科（秘鲁南部城市）
Cyclops	赛克罗波斯（希腊神话独眼巨人）
Czar	n. 沙皇
Czech Republic	捷克共和国（东欧国家）
DIY	n. 自己动手做
DJ	(=disk jockey)n.（电台）音乐唱片节目主持人；（俱乐部）舞曲唱片播放员 n. 电台流行音乐主持人，（电台、电视台、俱乐部的）音乐节目主持人
DNA	脱氧核糖核酸 n. 脱氧核糖核酸（deoxyribonucleic acid的缩写）
DOS	磁盘操作系统
DSL	数字接入线路
DVD	数字光碟，数字化视频光盘，DVD光盘，数码录像光碟，随机存储器，数字化视频光盘 abbr. 数字多功能光碟(digital versatile disc的缩写)，（=digital videodisc)数码影碟
DVD-ROM	DVD只读光盘
DVD-ROM drive	DVD驱动器
DVD-video format	DVD视频格式
DVI (digital video interface)	数字视频界面
DVI port	DVI端口
Daisy	n. 戴茜（女名）
Dale	戴尔（男名）
Dan Dervish	丹·德维什，丹•德维什
Danger!	危险！
Danielle	丹妮尔（人名）
Danish	丹麦人；丹麦的；丹麦语 adj.  n.
Danny	丹尼（人名），丹尼（男名）
Darlene Coulon	n. 达琳·库隆
Dave	戴夫（男名）
David	戴维（男名）
David Blaine	大卫，布莱恩（美国魔术师）
Day of the Dead	亡灵节
Dean	迪安（姓）
Dear	（用于信函抬头的名字或头衔前）亲爱的
Debbie	黛比（人名）
Dec.	十二月（缩写）
December	12月，十二月 n. (Dec.)十二月，12月，十二月
Declaration of Independence	独立宣言
Dempsey	登普西（姓）
Dena Morin	迪娜•莫林（人名）
Denmark	n. 丹麦，丹麦（北欧国家）
Dennis	丹尼斯（男名）
Depp	德普（姓）
Disk Operating System	磁盘操作系统
Disney Cruise	迪斯尼巡游，迪斯尼游轮
Disney World	迪斯尼世界
Disneyland	迪士尼乐园，迪士尼公园，迪斯尼乐园
Dollywood	n. 多莱坞（公园名，位于美国）
Don't worry.	别担心。
Donald Duck	唐老鸭
Dora	多拉（人名）
Double Ninth Festival	重阳节
Dr	医生；博士（=Doctor)
Dr.	n. 医生（=doctor）
Dr.Watson	Windows下的一个程序错误调式程序
Dragon Boat Festival	端午节，龙舟节（端午节）
Dutch	adj.  n.
EFTPOS	电子资金售点转账系统
Earth	地球 n. 地球，地球；世界
Easter	复活节 n. 复活节，（耶稣）复活节
Edmonton	埃德蒙顿（加拿大西南部城市，阿尔伯塔省省会）
Edmund Hillary	埃德蒙·希拉里，埃德蒙•希拉里
Edward Lear	n. 爱德华·李尔（英国作家、画家）
Egypt	埃及 n. 埃及（东北非国家），埃及，埃及（非洲国家）
Egyptian	adj. 埃及的；埃及人的，埃及的，埃及人的 n.
Eiffel Tower	（法国巴黎）埃菲尔铁塔
Elias	n. 伊莱亚斯（男名）
Eliza	伊丽莎（女名）
Elizabeth Fry	n. 伊丽莎白·弗赖伊（英国慈善家）
Emily	埃米莉（女名）
England	英格兰，英格兰（地名），英格兰；英国 n. 英格兰，（英国）英格兰
English	英国（式）的，英语，英语（课），英语；英国的，英语；英语的，（学科）英语，英语（的），英语；英语课 adj.  n.
English book	英语书
English class	英语课
English-Chinese dictionary	英汉词典
English-speaking	adj. 讲英语的
Eric	埃里克（男名）
Ethiopia	n. 埃塞俄比亚
Europe	欧洲 n. 欧洲
European	adj. 欧洲的 n. 欧洲人，欧洲人adj欧洲（人）的
Ewell	尤厄尔
Excuse me	对不起
Excuse me!	对不起，打扰一下！
Excuse me.	劳驾；请原谅。，对不起，打扰了。，请原谅。/对不起。，对不起，打扰一下。
Extended Binary Coded Decimal Interchange Code(EBCDIC)	扩充二、十进制交换码
FAQ	常见问题
FAQs	常见问题 (=Frequently Asked Questions)
FTP	文件传输协议
Fahrenheit	adj.  n.
Father Christmas	圣诞老人
Father Farges	法尔热神父（法）
Father's Day	父亲节
Feb.	二月（缩写）
February	2月，二月 n. (Feb.)二月，二月
File Transfer Protocol	文件传输协议
Finland	n. 芬兰，芬兰（欧洲国名）
FireWire port	火线端口
Flag Day	（美国）国旗制定纪念日
Florida	佛罗里达州，（美国）佛罗里达州 n. 佛罗里达镇（位于密苏里州）佛罗里达州（美国州名）
Fold the shirt.	叠起衬衫。
Foster	福斯特（姓或男名）
Fragrant Hills Park	香山公园
France	法国 n. 法国
Frank	弗兰克（男名）
Frank Worsley	弗兰克•沃斯利
Fred	弗雷德（人名）
Freddy	n. 弗雷迪（男名）
Frederick William I	腓特烈•威廉一世（普鲁士国王）
French	法语，法国人；法国的，法语课；法语 adj. 法国的，法国（人）的 n. 法语
French fries	法式炸薯条，炸薯条，炸薯条；炸土豆片
Friday	星期五 n. 星期五
Frisbee	飞盘
Fryderyk Chopin	弗里德里克，肖邦（波兰作曲家、钢琴家）
Futuroscope	n. 观测未来（公园名，位于法国）
GIF	可交换图像文件
GPS	全球（卫星）定位系统
Garcia	n. 加西亚（姓）
Garth Brooks	加思·布鲁克斯，加思•布鲁克斯
Gentile	n. 非犹太人；异教徒
Geography	n. 地理
George Bernard Shaw	乔治•伯纳德•萧（也译萧伯纳，英国剧作家）
George Crum	乔治.克拉姆，乔治•克拉姆
George Eliot	乔治•艾略特
George Hambley	乔治•汗布利
George Stephenson	乔治•斯蒂芬森（英国发明家，蒸汽机的发明人）
Georgetown	乔治市（马来西亚）
Georgia	乔治亚（人名）
German	adj. 德国的，德国（人）的 n. 德国人；德语
Germanic	adj. 日耳曼语（族）的
Germany	德国，德国（地名） n. 德国，德国（欧洲国家）
Get the book.	拿书。
Ghana	n. 加纳
Gina	吉娜（女名）
Giotto di Bondone	乔托（意大利画家、雕刻家、建筑师）
Gladys Claffern	格拉迪丝•克拉芬
Go to your desk.	去到你的座位上。
God	n. 上帝
Gombe National Park	贡贝国家公园(位于坦桑尼亚)
Goneril	贡纳莉
Good afternoon!	下午好！
Good afternoon.	下午好。，下午好
Good evening!	晚上好！
Good evening.	晚上好，晚上好。
Good idea!	好主意！
Good morning!	早上好！
Good morning, class.	同学们，早上好
Good morning.	早上好。，早上好
Good night.	晚安。
Good/Nice/Glad to see you again!	很开心再次见到你！
Goodbye.	再见。
Goodwill Ambassador	n. 亲善大使
Gothic	adj. 哥特式的，哥特风格的（指12至16世纪流行于西欧的建筑风格）
Grace	格雷丝（女名）
Grand Canyon	大峡谷
Grant	格兰特（人名）
Great Barrier Reef	大堡礁
Great Wall	长城
Greece	希腊（地名） n. 希腊
Greek	adj. 希腊的，希腊的，希腊人的 n. 希腊人
Green	格林（姓）
Greenland	格陵兰（位于北美洲东北部，世界第一大岛）
Greenwich	n. 格林尼治（英城市）
Greenwood Middle School	格林伍德中学
Greg	格雷格（人名），格雷格（男名）
Griffin	格里芬（姓）
Guatemala	危地马拉
Guggenheim Museum	古根海姆博物馆
Guinness	吉尼斯（人名）
Guinness Book of World Records	《吉尼斯世界纪录大全》
Guy Fawkes Day	（英国）盖伊福克斯节
Gypsy	n. 吉卜赛人
HB	（铅笔芯）硬黑
HIV	n. 艾滋病病毒(human immunodeficiency virus的缩写)
HIV  Human Immunodeficiency Virus	人体免疫缺损病毒（艾滋病病毒）
Halloween	万圣节，万圣节前夕 n. 万圣节前夕，万圣节前夕；诸圣日前夕
Hamlet	哈姆雷特（莎士比亚悲剧剧名及该剧的主人公）
Hang up the dress.	挂上连衣裙。
Hangzhou National Tea Museum	杭州国家茶博物馆
Hannibal	n. 汉尼拔（美国城市）
Hans Braun	汉斯•布朗（男名）
Hansel and Gretel	《韩塞尔与葛雷特》（《糖果屋》）
Happy Birthday!	生日快乐！
Happy New Year!	新年快乐!，新年快乐！
Happy birthday!	生日快乐！
Hari	n. 哈利（男名）
Harry Potter	《哈利•波特》，《哈里·波特》
Harvard	哈佛
Have a good day!	（表示祝愿）过得愉快！
Have a good time!	（表示祝愿）过得愉快！，（表示祝福）过得愉快！
Hawaii	n. （美国）夏威夷
Hayes	海斯（姓）
Heaven's Lake	天池
Hebrew	adj.  n.
Heidi	海蒂（人名）
Helen	海伦（人名），海伦（女名）
Helen Keller	海伦•凯勒
Hello!	你好！
Help yourself to...	随便吃点……
Help!	救命啊！
Hemingway	海明威（姓）
Herculean	adj. 费力的，艰巨的
Here it is	在这里，在这里；给你
Here it is!	就在这里！
Here you are	给你
Here you are.	给你，给你。
Hi.	你好。
Higgins	希金斯（姓）
Highgate Cemetery	海格特墓地（英伦敦北郊，内有马克思及其家人的坟墓）
Hindi	n. 印地语
Hindu	adj. 印度人的，印度教的 n. 印度人
Hippomenes	n. 希波墨涅斯（男名；古希腊人名）
Hispanic	adj. 与说西班牙语（葡萄牙语）国家有关的 n. （美）讲西班牙语的美国人
Hobart	霍巴特（澳大利亚塔斯马尼亚岛东南岸港市）
Holland	n. 荷兰
Holly	霍莉（女名）
Hollywood	好莱坞，好莱坞；美国电影业 n. 好莱坞；美国电影业
Home Science	家政课
Hong Kong	香港，香港（中华人民共和国特别行政区） n. 香港
Horace	n. 霍勒斯（男名）
Houston	n. 休斯敦（美国城市）
Houston Rockets	休斯顿火箭队
How about...?	……怎么样？，（征求意见）……好吗？……行吗？，（提出建议）……怎么样？
How are you?	你好么？你好！，你好吗？
How come?	怎么可能？
How do you do?	你好
How many...(are there)?	（有）多少……
How many...?	……多少？
How many?	有多少？
How much...	……多少钱？
How much...?	（购物时）……多少钱？，……多少钱？
How nice!	真好看！
How old are you?	你多大了？，你多大？
How old...?	……多大年纪？……几岁了？，……几岁？
Huangguoshu Waterfall	黄果树瀑布（贵州）
Hubert Hudson	休伯特•哈得逊
Huckleberry Finn	哈克贝利•芬恩（人名）
Hunt	亨特（姓）
Hurry up.	快点。
Hussey	赫西
Hyde Park	海德公园
I	我 pron. 我
I bet	我肯定
I can't wait!	我等不及了！
I like	我喜欢……(I don't like 不喜欢……)
I see	我知道了
I see.	我明白了。
I think so.	我想是。
I'd like	我想要
I'd like to...	我想（做）……（=I would like to……）
I'd like...	我想要……
I'd love to	我很乐意
I'll	我会（=I will）
I'll take it.	我买了。
I'm	(I am)我是，I am，我……，我是，我是（=I am）
I'm afraid	[口]恐怕（用于礼貌地拒绝）
I'm fine. Thanks.	我很好.谢谢。
I'm fine.thank you.	我很好，谢谢。
I'm home	我回来了
I'm sorry to hear that.	听到这个我感到很难过。
I'm ten years old.	我十岁
I've	我……
ID	身份证明（=identification）
ID card	学生卡；身份证
IEEE 1394 port	IEEE1394端口
IELTS	abbr. 国际英语测试，俗称雅思考试（是由英国文化委员会组织、剑桥大学地方考试委员会编制的英语水平测试）
IP address	网络协议地址
IQ	智商(intelligent quotient) n. 智商
ISDN	综合服务数字网络
IT	信息技术(Information Technology)，信息技术（=information technology），信息技术课 abbr. (=information technology)信息技术 n. 信息技术
Iceland	n. 冰岛
Imagine	《想象》
Impressionism	n. 印象主义，印象派
Impressionist Movement	n. 印象主义运动
Inca Empire	印加帝国
Independence Day	（美国）独立日
India	印度，印度（地名） n. 印度
Indian	adj. 印度（人）的 n. 印第安人；印度人，美洲印第安人
Indian Ocean	印度洋
Indonesia	n. 印度尼西亚，印度尼西亚 （东南亚岛国）
Indonesian	adj. 印度尼西亚的 n.
Information Centre	咨询中心
Integrated Services Digital Network	综合服务数字网
International Children's Day	国际儿童节
International Labor Day	国际劳动节
International Monetary Fund	国际货币基金组织
International Museum of Toilets	国际厕所博物馆
Internet	因特网，网络，互联网，互联网 n. 互联网，互联网，因特网，因特网，因特网，互联网，因特网；互联网，网络，（国际）互联网，（国际）互联网；因特网
Internet Corporation for Assigned Names and Numbers(ICANN)	互联网域名与管理机构
Internet cafe	n. 网吧
Internet protocol address	网络协议地址
Internet2	第2代因特网
Inuit	n. 因纽特人
IrDA port	红外传输端口
IrDA(Infrared Data Association)	红外数据连接
Iran	伊朗
Ireland	n. 爱尔兰
Irish	adj.  n.
Isaac Asimov	艾萨克•阿西莫夫
Isaac Newton	艾萨克•牛顿（英国科学家）
Islamic	adj. 伊斯兰的，伊斯兰教的
Israeli	adj.  n.
It can be said that...	可以说……
It is no wonder that...	难怪……
It is obvious that...	很清楚……
It is said that...	据说……
It is well known that...	众所周知
It was not until...that	直到
It's	它是(=it is)
It's a great pity that...	很可惜……
It's time for...	是……的时候了。
It's time to...	是……的时候了。=（It's time for……）
It's widely believed that...	人们普遍认为……
Italian	意大利的 adj. 意大利的，意大利的；意大利人的，意大利（人）的； 意大利语的 n. 意大利人
Italy	意大利，意大利（地名） n. 意大利（欧洲国家），意大利
Ithaca	伊萨卡岛（希腊西部爱奥尼亚海中群岛之一）
J.K. Rowling	J.K.罗琳（英国作家）
J.K.Rowling	J.K.罗琳（英国作家）
JPEC	图像压缩格式
Jabez Wilson	杰贝兹•威尔逊
Jack	杰克（人名），杰克（男名）
Jackson	杰克逊（姓）
Jacob Marley	雅各布·马利，雅各布，马利
Jake	杰克（男名）
Jamaica	n. 牙买加
Jamaican	adj. 牙买加（人）的
James	詹姆斯（人名），詹姆斯（男名）
James Dyson	詹姆斯•戴森（英国发明家）
James Naismith	詹姆斯·奈史密斯，詹姆斯•奈史密斯
Jamie	n. 杰米（男名）
Jan Hasek	简•哈兹克（男名）
Jan.	一月（缩写）
Jane	简（人名），简（女名）
Jane Austin	简•奥斯汀
Jane Goodall	n. 简·古道尔(英国动物学家)
Janice	贾尼丝（女名）
Janson	詹森（姓）
January	1月，一月 n. (Jan.)一月，一月
Japan	日本 n. 日本
Japanese	日本的 adj. 日本（人）的 n.
Jason	贾森（男名）
Jason Glen	杰森•格伦（人名）
Jean	琼（女名）
Jeff	杰夫（男名）
Jem	杰姆
Jenny	珍妮（女名），詹妮（人名）
Jeremy	杰里米（人名）
Jerry	杰里（男名）；杰丽（女名）
Jessica	杰西卡（人名），杰西卡（女名）
Jesus	n. 耶稣
Jew	n. 犹太人，犹太人；犹太教信徒，犹太人；犹太教徒
Jewish	adj. 犹太人的，犹太人的；犹太教的，犹太人的；犹太族的
Jill	吉尔（女名）
Jim	吉姆（人名），吉姆（男名）
Jimmy	吉米（男名）
Joan of Arc	n. 圣女贞德（法国民族女英雄）
Jody Williams	n. 乔迪·威廉斯（美国诺贝尔和平奖得者）
Joe	乔（男名）
Johann Webber	约翰•韦伯（男名）
Johannesburg	n. 约翰内斯堡（南非城市）
John	约翰（人名），约翰（男名）
John Lennon	约翰·列侬（英国著名摇滚乐队“披头士”成员）
Johnny	约翰尼（男名）
Jones	琼斯（姓）
Jordan	n. 约旦（西亚国家）
Joseph Banks	约瑟夫•班克斯
Journey to the West	《西游记》
Jr.	n. （=junior）（父子同名时，用于儿子姓名之后，两人同名时，用于年幼者之名后，以示区别）小……
Judy	朱迪（女名）
Jul.	七月（缩写）
Julie	朱莉（女名） n. 朱莉（女名）
July	7月，七月 n. (Jul.)七月，7月，七月
Jump.	跳。
Jumping rope	跳绳
Jun.	六月（缩写）
June	6月，六月 n. (Jun.)六月，6月，六月
Junko Tabei	田部井淳子
Jupiter	木星 n. 木星
Jurassic Park	侏罗纪公园（美国电影名）
KBps	千位／秒
Kaiser	n. 德国皇帝(1888-1918)
Kakado	n. 卡喀杜（澳大利亚地名，卡喀杜国家公园所在地）
Kakadu	卡卡杜湾
Karen	卡伦（女名）
Kate	凯特（人名），凯特（女名）
Katie	凯蒂（人名），凯蒂（女名）
